lexeme,synset,std_drift,iqr_drift,kde_peak,num_dimensions,any_significant
stammbuch,s10937,825.0731805367731,1276.9255162456056,0.001435518545532021,5120,True
stammbuch,s10971,825.346767802986,1277.7059993888095,0.001434747961900282,5120,False
schnabel,s25993,825.3914024624856,1277.708029012423,0.001434647450463162,5120,True
schnabel,s26449,825.153550097251,1277.1348897722262,0.0014352976120791947,5120,True
atmosphäre,s42158,825.1718639394043,1277.1586900328366,0.001435243434629334,5120,True
atmosphäre,s14251,825.2997257838792,1277.4597029644858,0.0014349093909998506,5120,True
atmosphäre,s33676,823.6827904513412,1273.6426023084016,0.0014392946892727528,5120,True
atmosphäre,s42868,825.1726764829456,1277.1961938414745,0.0014352433765882633,5120,True
diarium,s29492,825.0885306514699,1277.0156955999425,0.0014354647752952319,5120,False
diarium,s10919,825.1061108367277,1277.0270381433234,0.0014354288048815298,5120,True
kasse,s74827,825.1841105109263,1277.2166402905425,0.0014352234135488993,5120,True
kasse,s74907,824.9762027323047,1276.74434446505,0.0014356577549102256,5120,True
kasse,s6521,824.4347369225491,1275.6253778185062,0.0014371692262568731,5120,False
kasse,s25445,825.0824279136297,1276.9664459524342,0.0014354728655509468,5120,True
kasse,s25245,824.5788025968862,1275.8322296431813,0.0014368747737495062,5120,False
kasse,s22803,824.8742746736798,1276.4879317262078,0.0014360601580943573,5120,True
universität,s9426,824.5007140531129,1275.610344981417,0.0014370942890676033,5120,True
universität,s24528,825.5758817896476,1278.1385243482384,0.0014341171717199017,5120,True
universität,s75975,824.2449390636212,1275.0300108290667,0.001437783221256666,5120,False
blatt,s33132,823.5456381741716,1273.3558084952597,0.0014396976550993428,5120,False
blatt,s25671,824.6379928127532,1276.0679302186122,0.0014365614615518961,5120,False
blatt,s10649,825.4858989309877,1277.938659463016,0.0014343529941357868,5120,True
blatt,s85055,824.7669138245477,1276.2991909466484,0.0014362644775097744,5120,False
blatt,s46736,825.2571636480952,1277.4089787478556,0.0014350024895677612,5120,True
blatt,s11270,825.310143738956,1277.4809102065335,0.0014348824009982747,5120,True
block,s15791,824.6361828669858,1275.8336325409505,0.0014367803182749113,5120,False
block,s107180,825.179479174323,1277.2005394343673,0.0014352160673488043,5120,True
block,s11307,824.4603039320989,1275.5904910984334,0.0014370425478295917,5120,False
block,s9544,824.7734845471084,1276.3374466237167,0.0014363776142372114,5120,False
block,s33659,824.6878727992981,1276.4535032395077,0.001436272081650425,5120,False
klappe,s110889,824.0942263454491,1274.809360293461,0.0014380326146412473,5120,True
klappe,s6029,825.3330976149083,1277.5592237097644,0.0014348153993896332,5120,True
klappe,s25993,825.6378999825771,1278.3036003373786,0.001433928760647944,5120,True
pinsel,s8330,825.54874933173,1278.1032906431499,0.0014341854117177588,5120,True
pinsel,s37889,824.2335877387878,1275.080351316094,0.0014377348337239002,5120,False
maske,s106689,825.3463076333635,1277.5534516585399,0.0014347855989470721,5120,False
decke,s10206,825.248789008437,1277.3743916407868,0.0014350075982436767,5120,True
decke,s73206,823.7807597882006,1273.8294296536926,0.0014390205732800305,5120,True
decke,s7419,825.0901899886301,1276.9914599081692,0.0014354450521799494,5120,True
pflaster,s7930,824.8282163020033,1276.3714727945642,0.001436210087018933,5120,True
pflaster,s47771,825.5296938766215,1278.0079183898604,0.0014342516857700658,5120,True
virus,s50968,825.6276352295254,1278.2589435949676,0.0014339702260761941,5120,True
virus,s64010,824.5084434178216,1275.962396863302,0.001436766139958169,5120,True
kartenspiel,s25671,824.3770578513767,1275.2453030629335,0.00143746141677433,5120,True
kartenspiel,s11135,824.9169281500745,1276.636439746523,0.0014359088128296455,5120,True
gesichtsmaske,s63143,825.2133972938201,1277.3984053071886,0.001435095443285084,5120,False
gesichtsmaske,s63142,824.3899719599136,1275.427972559991,0.0014372940770961786,5120,True
fuß,s33599,824.6379027144905,1275.9966147642197,0.0014366903345180437,5120,False
fuß,s6390,824.8424100605882,1276.4966393184345,0.0014360565589391337,5120,False
fuß,s26149,825.4856526410978,1277.9144717373026,0.001434377267483715,5120,True
fuß,s110427,824.0297415555196,1274.6086168696768,0.0014382913516059138,5120,True
flügel,s73727,823.9950215437691,1274.4879820344136,0.0014384588868090768,5120,False
flügel,s12102,824.0077938170417,1274.4282055567558,0.0014384058022647193,5120,True
flügel,s26446,825.2200677639449,1277.2696429991922,0.0014351277087079409,5120,True
flügel,s11625,823.615891087969,1273.558228956267,0.0014394996719818535,5120,True
flügel,s73683,823.7530263167591,1273.8569857132923,0.0014390598494709638,5120,True
flügel,s23151,825.0676462115881,1276.922528655688,0.0014355513660128203,5120,True
flügel,s9697,824.5224298938464,1275.7765999507892,0.0014370729788044673,5120,True
kurs,s13438,825.2641152448147,1277.3939225381328,0.0014349862548146295,5120,True
kurs,s41951,824.9861101252698,1276.782029053791,0.0014357102114643562,5120,False
kurs,s41895,825.1377870006438,1277.119792100925,0.0014352805653266216,5120,True
kurs,s30016,825.2890266507203,1277.4855402581936,0.001434921291336751,5120,True
klima,s14251,825.087831679746,1277.0280165650165,0.0014354927792277071,5120,False
klima,s41205,825.2577847225938,1277.37317201808,0.0014350349373386583,5120,True
tor,s10304,825.5759961264342,1278.1564157703453,0.001434115735356979,5120,True
tor,s10313,824.1813634716784,1274.935136641085,0.0014379634388530151,5120,False
tor,s33154,824.9231491456688,1276.578391036775,0.0014359311485695886,5120,True
tor,s37889,824.6180582482112,1275.876938959896,0.0014367371108042622,5120,True
schimmel,s50922,825.2673408617401,1277.3960965705385,0.0014350030156846352,5120,True
schimmel,s47572,824.9033854049258,1276.5247955454201,0.0014360015993306308,5120,True
richtung,s27305,825.5181691927078,1278.023568954243,0.001434258270029039,5120,True
richtung,s51065,824.9291275641067,1276.656572608226,0.001435908831907762,5120,False
richtung,s41895,825.2094567223932,1277.2682653343925,0.0014351561081608804,5120,True
bank,s69017,823.9479263751206,1274.4548748075626,0.001438379902603461,5120,False
bank,s9650,824.348700788919,1275.2182335482926,0.001437499292215873,5120,True
bank,s25245,825.7313947647392,1278.4983655989815,0.0014336577991508853,5120,True
bank,s6399,824.9257254115995,1276.6964163125633,0.0014358348655403386,5120,True
zeitung,s10649,825.5332218754914,1278.012157154145,0.0014342502607961505,5120,True
zeitung,s29644,825.2419918857331,1277.3799821292591,0.0014350175927038142,5120,True
